,precision,recall,f1-score,support
angry,0.4093711467324291,0.3465553235908142,0.37535330695308083,958.0
disgust,0.3611111111111111,0.46846846846846846,0.40784313725490196,111.0
fear,0.40476190476190477,0.2822265625,0.33256616800920596,1024.0
happy,0.6342315369261478,0.7164599774520857,0.6728427739544732,1774.0
neutral,0.4449307075127644,0.49472830494728304,0.4685099846390169,1233.0
sad,0.3925233644859813,0.4041700080192462,0.39826155669695773,1247.0
surprise,0.6658823529411765,0.681107099879663,0.6734086853063652,831.0
accuracy,0.5048760100306492,0.5048760100306492,0.5048760100306492,0.5048760100306492
macro avg,0.4732588749245021,0.48481653497965155,0.47554080183057174,7178.0
weighted avg,0.49641798022534855,0.5048760100306492,0.4977622573256633,7178.0
