,precision,recall,f1-score,support
angry,0.3244929797191888,0.21711899791231734,0.2601626016260163,958.0
disgust,0.04296875,0.0990990990990991,0.05994550408719346,111.0
fear,0.3359253499222395,0.2109375,0.2591481703659268,1024.0
happy,0.4362934362934363,0.636978579481398,0.5178735105407882,1774.0
neutral,0.3811581676750216,0.35766423357664234,0.36903765690376567,1233.0
sad,0.3514259429622815,0.3063352044907779,0.3273350471293916,1247.0
surprise,0.5584577114427861,0.5403128760529483,0.5492354740061162,831.0
accuracy,0.3952354416271942,0.3952354416271942,0.3952354416271942,0.3952354416271942
macro avg,0.3472460482878505,0.3383494986590261,0.3346768520941712,7178.0
weighted avg,0.3909000348219746,0.3952354416271942,0.3844510965585464,7178.0
